"qid","subject","year","num","type","source_kp_url","mapped_kp_id","tag_status","decision_eligible"
"111-1","A","111","1","單選","../concept-map/115學測數學_排列組合與機率.html#kp2","prob:kp2","MAPPED_AUXILIARY","false"
"111-1","A","111","1","單選","../concept-map/115學測數學_排列組合與機率.html#kp1","prob:kp1","MAPPED_AUXILIARY","false"
"111-2","A","111","2","單選","../concept-map/115學測數學_指數與對數.html#kp2","explog:kp2","MAPPED_AUXILIARY","false"
"111-3","A","111","3","單選","../concept-map/115學測數學_數據分析.html#kp3","data:kp3","MAPPED_AUXILIARY","false"
"111-3","A","111","3","單選","../concept-map/115學測數學_數據分析.html#kp2","data:kp2","MAPPED_AUXILIARY","false"
"111-4","A","111","4","單選","../concept-map/115學測數學_數列與級數.html#kp1","seq:kp1","MAPPED_AUXILIARY","false"
"111-4","A","111","4","單選","../concept-map/115學測數學_指數與對數.html#kp5","explog:kp5","MAPPED_AUXILIARY","false"
"111-5","A","111","5","單選","../concept-map/115學測數學_排列組合與機率.html#kp4","prob:kp4","MAPPED_AUXILIARY","false"
"111-5","A","111","5","單選","../concept-map/115學測數學_排列組合與機率.html#kp5","prob:kp5","MAPPED_AUXILIARY","false"
"111-6","A","111","6","單選","../concept-map/115學測數學_直線與圓.html#kp1","linecir:kp1","MAPPED_AUXILIARY","false"
"111-7","A","111","7","多選","../concept-map/115學測數學_數與式.html#kp2","numexpr:kp2","MAPPED_AUXILIARY","false"
"111-7","A","111","7","多選","../concept-map/115學測數學_多項式函數.html#kp3","poly:kp3","MAPPED_AUXILIARY","false"
"111-8","A","111","8","多選","../concept-map/115學測數學_三角.html#kp2","trig:kp2","MAPPED_AUXILIARY","false"
"111-8","A","111","8","多選","../concept-map/115學測數學_直線與圓.html#kp2","linecir:kp2","MAPPED_AUXILIARY","false"
"111-9","A","111","9","多選","../concept-map/115學測數學_平面向量.html#kp2","pvec:kp2","MAPPED_AUXILIARY","false"
"111-10","A","111","10","多選","../concept-map/115學測數學_多項式函數.html#kp5","poly:kp5","MAPPED_AUXILIARY","false"
"111-10","A","111","10","多選","../concept-map/115學測數學_多項式函數.html#kp4","poly:kp4","MAPPED_AUXILIARY","false"
"111-11","A","111","11","多選","../concept-map/115學測數學_空間向量.html#kp6","space:kp6","MAPPED_AUXILIARY","false"
"111-11","A","111","11","多選","../concept-map/115學測數學_三角.html#kp7","trig:kp7","MAPPED_AUXILIARY","false"
"111-12","A","111","12","多選","../concept-map/115學測數學_多項式函數.html#kp1","poly:kp1","MAPPED_AUXILIARY","false"
"111-12","A","111","12","多選","../concept-map/115學測數學_多項式函數.html#kp2","poly:kp2","MAPPED_AUXILIARY","false"
"111-13","A","111","13","選填","../concept-map/115學測數學_排列組合與機率.html#kp6","prob:kp6","MAPPED_AUXILIARY","false"
"111-14","A","111","14","選填","../concept-map/115學測數學_矩陣.html#kp4","matrix:kp4","MAPPED_AUXILIARY","false"
"111-15","A","111","15","選填","../concept-map/115學測數學_三角.html#kp6","trig:kp6","MAPPED_AUXILIARY","false"
"111-15","A","111","15","選填","../concept-map/115學測數學_三角.html#kp3","trig:kp3","MAPPED_AUXILIARY","false"
"111-16","A","111","16","選填","../concept-map/115學測數學_空間向量.html#kp4","space:kp4","MAPPED_AUXILIARY","false"
"111-16","A","111","16","選填","../concept-map/115學測數學_空間向量.html#kp5","space:kp5","MAPPED_AUXILIARY","false"
"111-17","A","111","17","選填","../concept-map/115學測數學_空間向量.html#kp3","space:kp3","MAPPED_AUXILIARY","false"
"111-17","A","111","17","選填","../concept-map/115學測數學_空間向量.html#kp1","space:kp1","MAPPED_AUXILIARY","false"
"111-18","A","111","18","混合題（單選 3 分）","../concept-map/115學測數學_三角.html#kp1","trig:kp1","MAPPED_AUXILIARY","false"
